article_id,par_index,group,text_block_en,raw_output,label,explanation,seed,sample_size,source_step
6353e2e560d398afa901e3b8,10,MIGR,"[Andere Gruppe] entsorgen eigene Papiere

Die gefälschten Papiere sollen über Mittelsmänner ins Ausland geliefert worden sein. Mit diesen Schein-Papieren, so heißt es, hätten die [Gruppe 1] beim Verlassen ihres Heimatlandes fälschlicherweise ein Aufenthaltsrecht in Deutschland vorweisen können.

Wie es bei „[Andere Gruppe]“ sehr häufig der Fall ist: Vor Betreten der Bundesrepublik sollen die vermeintlichen „[Andere Gruppe]“ die eigenen Originalpapiere entsorgt haben. Bisher hat die Bundespolizei mindestens 26 solcher Betrugsfälle festgestellt, die wahrscheinlich nachgewiesen werden können. Die Ermittlungen der deutschen Behörden dauern an. Vielleicht werden noch weitere Verdächtige verhaftet.","Label: **CRIME_FRAME_NEG**
Explanation: Der Absatz verknüpft explizit die **[Andere Gruppe]** mit Betrugsdelikten (gefälschte Papiere, Aufenthaltsbetrug) und stellt sie als Tätergruppe dar, die systematisch Straftaten begeht.",CRIME_FRAME_NEG,"Der Absatz verknüpft explizit die **[Andere Gruppe]** mit Betrugsdelikten (gefälschte Papiere, Aufenthaltsbetrug) und stellt sie als Tätergruppe dar, die systematisch Straftaten begeht.",42,200,2.1_one_shot
632712913dd49b919c134b37,26,AFR,"Auch Frau Frühwald ist selbstverständlich gepierct – in der Nase; ganz schön cool für eine werdende Pfarrerin. Und auch sie ist – wie könnte es anders sein – „Feministin”. „Feminismus bedeutet für sie, sich dafür einzusetzen im Privaten, im Politischen, sich auch beruflich dafür stark zu machen, dass Geschlecht keine Rolle spielt“, schwärmt der Hessische Rundfunk über die Nachwuchs-Sozin. Wenn Frauen wie Frau Frühwald nicht in solchen Machtpositionen wären, könnte ich mich von dem widerlichem Opportunismus und der glattgebügelten Falschheit eines langweiligen, langhaarigen Mädchens mit drögem Mittelscheitel einfach abwenden und mein Gemüse gießen – so realitätsfern sind ihre Aussagen. Schließlich muss man nur aus der Tür treten und braucht in vielen deutschen Städten nicht lange zu warten, bis einen aggressiv auftretende afrikanische und orientalische Männerrotten einerseits und Gruppen von Kopftuchfrauen andererseits zu unverzüglich zu der Erkenntnis gelangen lassen, dass „Geschlecht” heute mehr denn je eine Rolle spielt – außer vielleicht bei farblosen, jungen Frauen, die schon als kleines Mädchen Bundeskanzlerin werden wollten. Ich bete jeden Tag, dass dieser Kelch an uns vorübergehen möge.

Wie zu erwarten, hat sich die „Feministin” Sophie Frühwald, die sich „sehr intensiv” mit der Shoa und dem Kampf gegen Rechts befasst (solche Schlagorte sind einer politischen Karriere ungemein förderlich!), bislang kein einziges Mal zu den Messermorden und Vergewaltigungen deutscher Mädchen durch [Andere Gruppe] geäußert oder sich für unterdrückte [Gruppe 1] oder gar für Muslimas in ihren tragbaren Stoffgefängnissen eingesetzt. Auch zur Genitalverstümmelung ließ sie bislang nichts verlauten. Ungleich einfacher und billiger ist es da doch, einen kulturell angeeigneten Nasenring zu tragen und ansonsten keine Risiken einzugehen, um die spätere Verbeamtung als Pastorin nicht zu gefährden. Mutig, wahrlich todesmutig sind unsere jungen „Politiker und Innen” heutzutage, so sehr, dass regelrecht mein Herz für sie blutet – so wie die Herzen all der hingemetzelten Mädchen, Frauen und Männer seit 2015!

Störung der feinen Gehörgänge","```
Label: **CRIME_FRAME_NEG**
Explanation: Der Absatz verknüpft explizit **[Andere Gruppe]** mit konkreten Straftaten („Messermorden und Vergewaltigungen deutscher Mädchen“) und stellt sie als Bedrohung dar, ohne Differenzierung oder Kontextualisierung.
```",CRIME_FRAME_NEG,"Der Absatz verknüpft explizit **[Andere Gruppe]** mit konkreten Straftaten („Messermorden und Vergewaltigungen deutscher Mädchen“) und stellt sie als Bedrohung dar, ohne Differenzierung oder Kontextualisierung.",42,200,2.1_one_shot
632712873dd49b919c0ec10a,4,TRKD,"Hunderte [Gruppe 1] reisten Ende Februar in die Türkei, um u. a. strategische Anweisungen des türkischen Präsidenten für die Wahlkämpfe 2023 zu erhalten, wenn in der Türkei Präsident und Parlament gewählt werden, schreibt die WELT und zeigt die türkische Einflussnahme auf die deutsche Innenpolitik über AKP-nahe Organisationen und über Moscheevereine.

»Erdogan versucht weiter, seinen Einfluss auf [Gruppe 1] über politische Organisationen wie den Lobbyvereins Union Internationaler Demokraten (UID) und über Moscheevereine auszuweiten. Der Verfassungsschutz beobachtet diese Aktivitäten von Erdogans fünfter Kolonne in Deutschland, aber das reicht nicht, um türkische Nationalisten und [Andere Gruppe] zu stoppen. Die Unterwanderung unserer Demokratie durch türkische Extremisten, gelenkt aus Ankara, geht weiter. Als AfD erwarten wir von der Bundesregierung, dass sie härter gegen diese verfassungsfeindlichen Bestrebungen vorgeht und dem türkischen Despoten klar dessen Grenzen aufzeigt. Dazu zählt auch, dass es keine organisierte Wahlkampfhilfe von [Gruppe 1] für den Despoten vom Bosporus geben darf.«

Unser Grundgesetz ist unser aller Schatz. Und unser aller Verantwortung.","Label: **CRIME_FRAME_NEG**
Explanation: Der Absatz verknüpft **[Gruppe 1]** explizit mit **„türkischen Extremisten“** und **„verfassungsfeindlichen Bestrebungen“**, die als Bedrohung für die deutsche Demokratie dargestellt werden, sowie mit **„organisierter Wahlkampfhilfe für einen Despoten“** – dies entspricht einer negativen Sicherheitsbedrohung.",CRIME_FRAME_NEG,"Der Absatz verknüpft **[Gruppe 1]** explizit mit **„türkischen Extremisten“** und **„verfassungsfeindlichen Bestrebungen“**, die als Bedrohung für die deutsche Demokratie dargestellt werden, sowie mit **„organisierter Wahlkampfhilfe für einen Despoten“** – dies entspricht einer negativen Sicherheitsbedrohung.",42,200,2.1_one_shot
6327129a3dd49b919c16d336,3,ISLMST,"Doch dieser Anschlag ist gefühlt anders als die vorherigen, da er in der liberalen und hedonistischen israelischen Mittelmeermetropole stattfand. Tel Aviv ist das lebensfrohe Herz Israels, das Zentrum des kleinen Landes. Ein Anschlag mitten in dieser Stadt gibt allen [Andere Gruppe] ein besonders starkes Gefühl der Verletzlichkeit. Und er macht deutlich, wie schnell die vermeintliche Sicherheit verloren gehen kann – trotz einer starken Armee, trotz exzellenter Geheimdienste, trotz verschiedener Spezialkräfte im Kampf gegen den Terror.

Es ist Ramadan, der muslimische Fastenmonat. Schon vor Wochen bereiteten sich die israelischen Sicherheitsorgane für genau das vor, was nun eingetreten ist: eine Terrorwelle in Zeiten religiöser Feierlichkeiten. An vielen Orten im Westjordanland feierten Palästinenser gestern das Attentat. [Gruppe 1] wie die Hamas in Gaza oder der Islamische Jihad bezeichneten den Anschlag als »heroische Operation« und als »Widerstand gegen die verbrecherische Besatzung«. Sie übernahmen aber keine direkte Verantwortung, da der Attentäter zu den Al-Aqsa-Märtyrer-Brigaden gehörte, dem militärischen Arm der Fatah-Organisation von Palästinenserpräsident Mahmud Abbas.

Höchste Alarmstufe bei den israelischen Sicherheitskräften","Label: **CRIME_FRAME_NEG**
Explanation: Der Text verknüpft explizit **[Gruppe 1]** (Hamas, Islamischer Jihad, Al-Aqsa-Märtyrer-Brigaden) mit einem Terroranschlag als „heroische Operation“ und „Widerstand“, was eine direkte Verbindung zu Kriminalität/Terrorismus als Bedrohung darstellt.",CRIME_FRAME_NEG,"Der Text verknüpft explizit **[Gruppe 1]** (Hamas, Islamischer Jihad, Al-Aqsa-Märtyrer-Brigaden) mit einem Terroranschlag als „heroische Operation“ und „Widerstand“, was eine direkte Verbindung zu Kriminalität/Terrorismus als Bedrohung darstellt.",42,200,2.1_one_shot
632712a23dd49b919c1a1ef6,4,MIGR,"Polizei in Nikosia (Symbolbild): Die Bereitschaftspolizei der Insel Zypern hat Warnschüsse gegen [Gruppe 1] abgefeuert. (Quelle: George Christophorou/imago-images-bilder)

Die Lage auf Zypern droht, außer Kontrolle zu geraten: In nur zwei Monaten sind auf der Insel Tausende [Gruppe 1] angekommen, die Polizei scheint überfordert. In einem Aufnahmelager kam es nun zu Ausschreitungen.

Die Bereitschaftspolizei der Insel Zypern hat Warnschüsse abgefeuert, um eine Gruppe von rund 200 [Gruppe 1] in der Ferienstadt Paphos auseinander zu treiben. Fast zeitgleich kam es am späten Dienstagabend Polizeiangaben nach in einem Aufnahmelager nahe der Hauptstadt Nikosia zu Ausschreitungen zwischen Bewohnern. In beiden Fällen wurden die Polizisten demnach mit Steinen beworfen.","Label: **CRIME_FRAME_NEG**
Explanation: Die Gruppe wird explizit als Täterin dargestellt, indem sie mit Ausschreitungen (Steinwürfe), Überforderung der Polizei und gewaltsamen Konflikten in Aufnahmelagern verknüpft wird.",CRIME_FRAME_NEG,"Die Gruppe wird explizit als Täterin dargestellt, indem sie mit Ausschreitungen (Steinwürfe), Überforderung der Polizei und gewaltsamen Konflikten in Aufnahmelagern verknüpft wird.",42,200,2.1_one_shot
632712853dd49b919c0df2ad,25,REFUG,"Erst kurz vor der deutschen Grenze sei ihm aufgefallen, dass im Laderaum viele Menschen waren. Sie hatten verzweifelt um Hilfe geschrien und mit den Fäusten gegen die Innenwände gehämmert. Sie hatten Durst, außerdem war ihnen sehr kalt. Thaer Farouk Al J. sagte vor Gericht, er habe sich nicht getraut, die Menschen aus dem Auto zu schmeißen, denn sie hätten darauf bestanden, dass er sie „nach Deutschland“ bringe. Sie seien „wütend“ gewesen und wollten ihren Traum „kurz vorm Ziel“ nicht aufgeben. Deshalb sei er weitergefahren.

Auch sein mutmaßlicher Mittäter Nayef Ahmad A. erklärte, er sei von unbekannten Männern zur Schleusung „gezwungen“ worden. So habe er in dem BMW kurzzeitig vier oder fünf [Gruppe 1] mitgenommen, sie aber noch in [Andere Gruppe] wieder ausgeladen. Fakt ist: Bundespolizisten fanden bei dem Verdächtigen 2590 Euro Bargeld. Die Ermittler glauben, dass es sich um den Schleuserlohn handelt. Nayef Ahmad A. bestreitet das. Er habe das Geld aus Dänemark mitgebracht, lautete seine wenig schlüssige Erklärung.

""Wenig glaubhaft"": Staatsanwältin zweifelt Aussagen an","Label: **CRIME_FRAME_NEG**
Explanation: Der Absatz verknüpft explizit die **[Gruppe 1]** mit Schleusungskriminalität (illegale Migration als Straftat) und stellt sie als Täter oder zumindest als passive Profiteure des Schleuserhandels dar, indem sie als „gezielte Zielgruppe“ der Schleuser agieren.",CRIME_FRAME_NEG,"Der Absatz verknüpft explizit die **[Gruppe 1]** mit Schleusungskriminalität (illegale Migration als Straftat) und stellt sie als Täter oder zumindest als passive Profiteure des Schleuserhandels dar, indem sie als „gezielte Zielgruppe“ der Schleuser agieren.",42,200,2.1_one_shot
