testset_id,group,text_block_en,label_marmee,label_robin,model_label,model_explanation,article_id,par_index,notes_robin,notes_marmee,n_human_annotators,human_consensus_label,human_agreement,final_human_label
252.0,BIH,"Damals begann die Kolonialisierung Deutschlands, die sich 2015 mit der Grenzöffnung und dem Migrationspakt inzwischen zu einer alles verschlingenden Einwanderungswelle entwickelt hat. Auch in Deutschland wird mit Traumatisierungen zur Zerrüttung und leichteren Kontrolle der autochthonen Einwohner gearbeitet. Vergewaltigungen [Andere Gruppe] Frauen durch [Andere Gruppe] und Messerangriffe werden bagatellisiert, ignoriert und die Täter – wie zum Hohn – in Psychiatrien untergebracht. Andere, wie der auf 16 Jahre geschätzte [Andere Gruppe], der ein 11-jähriges, deutsches Mädchen durch eine Vergewaltigung seelisch ermordet und ihre Familie traumatisiert hat, erhalten eine einfache Bewährungsstrafe und können ihre Seelenmorde ungehindert fortsetzen.

Mitgefühl für vergewaltigte [Gruppe 1]? Ja! Für Deutsche? Nein!

Durch solche Untaten und deren milde Strafen oder Nichtbestrafung werden indigene Familien geschwächt, um die Eroberung und Landnahme zur erleichtern. Im krassen Gegensatz zum derzeit stattfindenden „Völkersterben“ der Deutschen „von seiner schönsten Seite“ (Deniz Yücel), das von Handlangern in der Legislative, Exekutive und Judikative geduldet und gefördert wird, stehen die mitfühlenden Reaktionen der Deutschen auf den Jugoslawienkrieg 1992 bis 2005. Die Süddeutsche Zeitung, stets auf Seiten der Schwachen, es sei denn, es handelt sich um Deutsche, schrieb 2013 zu den geschätzten 20 000 bosnischen Frauen, die Opfer sexueller Gewalt und Folter wurden: „Von Tag eins des Krieges an wurden so viele Frauen wie möglich so oft wie möglich vergewaltigt, in »Einzel-, Gruppen- und Dauervergewaltigungen«, wie Human Rights Watch die Verbrechen klassifizierte.“ Ich weiß nicht, wie es Ihnen geht, aber mich erinnert diese Aussage an den Zustand Deutschlands, das seit 2015 einem Freilichtbordell gleicht.",CRIME_FRAME_NEG,NO_CRIME_FRAME,CRIME_FRAME_NEG,"**Label:** CRIME_FRAME_NEG

**Explanation:** Der Text verknüpft die **[Andere Gruppe]** explizit mit schweren Straftaten (Vergewaltigungen, Messerangriffe, „Seelenmorde“), bagatellisiert deren Folgen, beschreibt milde Strafen als „Untaten“ und stellt sie als aktive Bedrohung für „autochthone Einwohner“ dar – dies zählt als **CRIME_FRAME_NEG** durch generalisierte Kriminalitätszuschreibung und Legitimierung von Gewaltnarrativen.",632712913dd49b919c134ac9,6.0,victim,Victim but also raping a German girl too,2,NO_HUMAN_CONSENSUS,0.0,CRIME_FRAME_NEG
255.0,SALAF,"Zwei weitere Schüler zeigen das unter [Andere Gruppe] verbreitete „Rabia“-Zeichen. Entstanden ist der Gruß 2013 in Kairo, als die ägyptische Armee eine Blockade der islamistischen Muslimbruderschaft auflöste. Der türkische Staatschef Recep Tayyip Erdogan verwendete den Gruß, als er im Sommer 2016 nach dem gescheiterten Militärputsch vor seine Anhänger trat.

Ein weiterer Jugendlicher auf dem Foto mit der Ministerin posiert mit dem unter [Gruppe 1], auch beim „Islamischen Staat“ verbreiteten gestreckten Zeigefinger.

Mittlerweile haben Faeser und das Bundesinnenministerium reagiert – und das Foto gelöscht. „Die von einigen Schülern gezeigten Symbole auf dem Bild sind inakzeptabel, ich verurteile dies scharf“, schrieb Faeser auf Twitter. Man sei mit dem Projektträger dazu im Gespräch.",NO_CRIME_FRAME,CRIME_FRAME_NEG,NO_CRIME_FRAME,"**Label:** NO_CRIME_FRAME
**Explanation:** Die Gruppe wird zwar mit einem Symbol in Verbindung gebracht, das auch beim „Islamischen Staat“ verbreitet ist, aber es liegt keine explizite Verknüpfung mit Kriminalität, Terrorismus, Gewalt oder Sicherheitsbedrohung vor – stattdessen wird das Foto als inakzeptabel verurteilt, ohne die Gruppe selbst als Täter oder Unterstützer von Gewalt darzustellen.",632712ae3dd49b919c1e771d,9.0,Crime to do the gruß? ,Not related to Germany? ,2,NO_HUMAN_CONSENSUS,0.0,NO_CRIME_FRAME
267.0,REFUG,"Nach dem blutigen Angriff auf zwei Mädchen in Illerkirchberg rückt die Frage nach Abschiebungen von Menschen nach schweren Straftaten zunehmend in den Fokus. Entzündet hat sie sich zuletzt an einem weiteren Fall aus Illerkirchberg.

Im Streit mit dem Bund um die Abschiebung von [Gruppe 1] nach schweren Straftaten dringt Baden-Württembergs Justizministerin Marion Gentges auf Konsequenzen. „Wir müssen schauen, wo wir die Sicherheit der Menschen schützen, wo wir stärker präventiv ansetzen und konsequenter sein müssen“, sagte die CDU-Politikerin nach mehreren erfolglosen Versuchen, einen verurteilten Vergewaltiger aus Illerkirchberg in seine afghanische Heimat abzuschieben. In jedem Fall gelte: „Was rechtlich möglich ist, auch durchsetzen!“

Staaten dürften nicht pauschal von Abschiebungen ausgeschlossen werden, sagte Gentges der Deutschen Presse-Agentur. Es sei vielmehr wichtig, bei den Fällen stärker zu unterscheiden und zu fragen, was zumutbar sei für die abzuschiebenden Straftäter und Gefährder und auch für die Sicherheit des Landes. Liege bei einem Straftäter oder einem Gefährder kein Abschiebungsverbot vor, nachdem der Fall durch das Bundesamt für Migration und [Gruppe 1] (BAMF) geprüft worden sei, müsse alles versucht werden, um das rechtlich Mögliche auch faktisch durchzusetzen. Es gehe ausdrücklich um Entscheidungen in Einzelfällen und bei hochgefährlichen Einzeltätern. „Was wir für die Sicherheit tun können, müssen wir tun“, sagte die Ministerin.",CRIME_FRAME_NEG,CRIME_FRAME_POS,CRIME_FRAME_NEG,"**Label:** CRIME_FRAME_NEG
**Explanation:** Der Text verknüpft die Gruppe explizit mit schweren Straftaten (Vergewaltigung), Abschiebungsdebatten im Kontext von Gefährderprävention und der Forderung nach konsequenter Sicherheitsdurchsetzung – dies zählt als **CRIME_FRAME_NEG**, da die Gruppe als Quelle von Kriminalität und Sicherheitsrisiko gerahmt wird.",639c9724d1737089ce071101,3.0,Abschiebung as positiv prevention against more crime? ,Unsure,2,NO_HUMAN_CONSENSUS,0.0,CRIME_FRAME_NEG
277.0,NLD,"Die Gewaltexzesse häufen sich

Vom lukrativen Geschäft wollen auch immer mehr Gruppen profitieren. Doch mehr Konkurrenz führt auch zu mehr Gewalt. Die internationale Bande um den marokkanischstämmigen [Gruppe 1] Ridouan Taghi zum Beispiel, dem derzeit in Amsterdam ein großer Prozess gemacht wird, ist berüchtigt für extreme Gewalt. Auch der Mord am Kriminalreporter Peter R. de Vries in Amsterdam im vergangenen Jahr soll auf das Konto der Bande gehen.

Mehr Gewalt und strengere Kontrollen führen dazu, dass die Kartelle ausweichen auf andere Häfen in Kalabrien etwa oder in Hamburg.",NO_CRIME_FRAME,CRIME_FRAME_NEG,CRIME_FRAME_NEG,"**Label:** CRIME_FRAME_NEG
**Explanation:** Die Gruppe wird explizit mit einer kriminellen Bande verknüpft, die für extreme Gewalt verantwortlich ist, und ein Mord wird ihr direkt zugeschrieben („auf das Konto der Bande gehen“). Zudem wird sie als Teil eines gewalttätigen Kartells dargestellt, das mit organisierter Kriminalität assoziiert wird.",6327128a3dd49b919c0ffe9c,15.0,crime leads to difference for hamburg ,Not related to Germany? But unsure ,2,NO_HUMAN_CONSENSUS,0.0,CRIME_FRAME_NEG
279.0,REFUG,"Laut Anklage wollte die 13-Jährige die besagte Nacht im Juni 2021 mit den jungen Männern verbringen und später nach Hause an den Stadtrand von Wien fahren. Doch in der Wohnung von einem der drei jungen Männer hätten ihr die Verdächtigen mindestens sechs Tabletten Ecstasy in ein Getränk gemischt und sie vergewaltigt, so die Anklage weiter. Nachdem sie an einer dreifachen Überdosis gestorben sei, sei sie an einem Grünstreifen am Straßenrand abgelegt worden. Die Staatsanwaltschaft stützt sich unter anderem auf toxikologische Untersuchungen, DNA-Spuren, Verletzungen, und ein Handyvideo vom Todeskampf des Opfers, das einer der Männer unmittelbar nach dem Missbrauch aufnahm.

Politische Debatte um kriminelle [Gruppe 1]

Der Tod des Mädchens hatte vergangenes Jahr eine politische Debatte über kriminelle [Gruppe 1] ausgelöst. Die konservative Kanzlerpartei ÖVP forderte eine konsequente Abschiebepraxis für diese Gruppe. Die mitregierenden Grünen gaben dem seit Jahren von ÖVP-Ministern geführten Innenministerium die Schuld für verzögerte Rückführungen. Ein Anwalt der Opferfamilie brachte am Freitag vor Gericht ebenfalls das Thema Migration ins Spiel. „In Österreich haben Frauen und Mädchen ihre Rechte und das kann ihnen niemand nehmen“, sagte er. Das müsse klargemacht werden.",CRIME_FRAME_NEG,NO_CRIME_FRAME,CRIME_FRAME_NEG,"**Label:** **CRIME_FRAME_NEG**
**Explanation:** Die Gruppe wird explizit mit einer schweren Straftat (Vergewaltigung, Mord, Drogenmissbrauch) verknüpft, indem die drei Täter als Mitglieder der Gruppe beschrieben werden („die Verdächtigen“ im Kontext der politischen Debatte über „kriminelle [Gruppe 1]“), und die Anklage sowie die politische Reaktion (Forderung nach Abschiebung) die Gruppe direkt mit Kriminalität assoziieren.",638a22182113779cc0086ccb,6.0,Not germany related but part of 284 that shows is german related xD,certain criminal Gruppe 1??,2,NO_HUMAN_CONSENSUS,0.0,NO_CRIME_FRAME_NEG
284.0,AFG,"Das Mädchen aus Tulln an der Donau war als „Ausreißerin“ bekannt. Das ging auch aus der Aussage einer 17 Jahre alten Freundin an einem der insgesamt sieben Prozesstage hervor, mit der sie des Öfteren die Schule schwänzend nach Wien gefahren war. Die Freundin gab an, sie habe zusammen mit dem späteren Opfer einen der drei jungen [Gruppe 1] in der Zeit vor der Tat zweimal getroffen. Die Dreizehnjährige habe ihn über Instagram kennengelernt, doch eine Beziehung der beiden, wie sie der Angeklagte angegeben hatte, könne sie sich nicht vorstellen, sagte die Zeugin aus. Bei einem dieser Treffen habe der junge Mann den Mädchen Tabletten zugesteckt und sei gegenüber der Jüngeren zudringlich geworden. Die Freundin habe sie dann weggezogen.

Am Abend vor der Tat fuhr das spätere Opfer mit einem Bekannten aus Tulln nach Wien, trennte sich dann aber von ihm. Die Ankläger rekonstruierten den weiteren Ablauf so: Das Mädchen habe sich mit dem [Gruppe 1], den sie kannte, und dessen beiden Bekannten getroffen. Sie sei mit ihnen in die Wohnung eines der Drei gegangen. Dort sei Rauschgift konsumiert worden, zunächst offenbar tatsächlich einvernehmlich. Um zwei Uhr morgens habe das Mädchen noch mit dem Freund, mit dem sie nach Wien gefahren war, telefoniert, da sei es ihr laut Aussage des Mannes aus Tulln noch „gut“ gegangen. Als das Mädchen, so die weitere Rekonstruktion, sich dann nicht zum sexuellen Verkehr bereiterklärt habe, sollen die drei Männer den Plan gefasst haben, sie dazu bewusstlos zu machen. Sie hätten ihr mindestens sechs Tabletten ins Getränk gemischt und sich anschließend an ihr vergangen.

Ein Angeklagter wurde im Ausland gefasst",NO_CRIME_FRAME,CRIME_FRAME_NEG,CRIME_FRAME_NEG,"**Label:** CRIME_FRAME_NEG
**Explanation:** Der Absatz verknüpft die Gruppe explizit mit einer schweren Straftat (sexuelle Gewalt, Bewusstlosmachen durch Tabletten, Vergewaltigung) und beschreibt die drei jungen Männer der Gruppe als mutmaßliche Täter, die aktiv an der Tat beteiligt waren. Die Ermittlungen und Rekonstruktion der Tat durch die Ankläger bestätigen die direkte Verbindung der Gruppe mit Kriminalität und Gewalt.",638a5a6785bdc1cf6d07380b,9.0,Donau ,Not related to Germany? ,2,NO_HUMAN_CONSENSUS,0.0,CRIME_FRAME_NEG
292.0,UKR,"Draußen wuchte ich unter den Augen eines osteuropäischen Handwerkers meine neun Literflaschen Mineralwasser mit einer Hand in meinen Fahrradkorb. Ich kann förmlich seine Gedanken lesen: „Warum macht das kein Mann für sie?” Er kann nicht wissen, dass dies eine der zahlreichen Ertüchtigungen ist, die ich regelmäßig absolviere, um fit zu bleiben; um „wehrfähig” zu sein, so dass ich jederzeit einem zudringlichen „Neubürger“ eine in die Fresse hauen kann, um gerade noch ausreichend Zeit zum Fliehen zu haben. All das kann der Osteuropäer natürlich nicht wissen, während er mich weiterhin mustert und mit den Augen auszieht.

Ich ignoriere ihn und schiebe mein Fahrrad über den Parkplatz. Dabei fällt mein Blick auf eine dralle [Gruppe 1], die mit ihrem Sohn – vielleicht acht Jahre alt – gemeinsam aus einer riesigen Colaflasche trinkt. „Toll“, denke ich mir, „so früh züchtet sie schon ihren Sohn als Diabetiker heran. Dessen Behandlungskosten werde ich dann auch noch stemmen müssen.“ Die Frau schaut mich an und scheint Bestätigung bei mir für ihre Gegenwart zu suchen. Noch vor zehn Jahren hätte ihr ein freundliches Lächeln geschenkt. Doch inzwischen ist zuviel passiert. Zuviele Menschen sind ohne meine Zustimmung in mein Land gekommen und zuviele Betrügereien sind mir zu Ohren gekommen, wie beispielsweise von den bildhübschen [Gruppe 1], die einmal im Monat nach Deutschland fahren, vom Amt Hartz-IV abholen und dann in ihr Gebiet in der Ukraine zurückfahren, das komplett vom Krieg verschont wurde. Es ist alles zuviel. Es ist alles einfach zuviel. Und so kommt es, dass mir auch die Gegenwart dieser [Gruppe 1] zu viel ist, selbst wenn sie die eine Gerechte unter den 100 Ungerechten wäre. Daher gebe ich ihr meinen bewährten Granitblick, lasse ihre Bemühungen wie Wasser an mir ablaufen und fahre mit unbewegtem Gesicht und steifem Rücken an ihr vorbei.

Wer ist hier Herr im Hause…",CRIME_FRAME_NEG,NO_CRIME_FRAME,CRIME_FRAME_NEG,"**Label:** **CRIME_FRAME_NEG**
**Explanation:** Der Text verknüpft die Gruppe explizit mit **mutmaßlichen Betrugsvorwürfen** („bildhübschen [Gruppe 1], die einmal im Monat nach Deutschland fahren, vom Amt Hartz-IV abholen und dann in ihr Gebiet in der Ukraine zurückfahren“) und stellt sie als **kollektive Bedrohung der sozialen Ordnung** dar („Zuviele Betrügereien sind mir zu Ohren gekommen“), was eine generalisierte Sicherheits- und Kriminalitätszuschreibung ohne Differenzierung darstellt.",632712913dd49b919c134bfc,14.0,not clear if its in germany ,But somewhat related to germany? ,2,NO_HUMAN_CONSENSUS,0.0,CRIME_FRAME_NEG
300.0,RUS,"Unterstützung für eingeschränkte Visafreiheit für [Gruppe 1]

Der Ex-Boxweltmeister stellte sich hinter die Einschränkung der Visa-Freiheit von [Gruppe 1] und [Gruppe 1] in Europa. „Wie können diese Leute die deutschen Berge genießen, während ihre Leute aus dem Militär Städte zerstören?“, sagte er. „Wie kann es sein, dass in Côte d’Azur, in Saint-Tropez, die [Gruppe 1], die hinter der Propaganda stehen, Korken knallen lassen und das Leben genießen, während ihre Leute in Butscha und Mariupol Massaker machen? Frauen und Kinder vergewaltigen, das Leben zerstören.“

Russische Bürger profitieren seit Montag nicht mehr von einer erleichterten Visa-Vergabe für Reisen nach Deutschland und in andere Staaten des Schengen-Raums. Das zwischen der EU und Russland geschlossene Abkommen zur Erleichterung der Visa-Vergabe ist nach einem Beschluss der EU-Staaten von vergangener Woche für russische Staatsbürger nun komplett ausgesetzt.",NO_CRIME_FRAME,CRIME_FRAME_NEG,NO_CRIME_FRAME,"**Label:** NO_CRIME_FRAME
**Explanation:** Der Text verknüpft die Gruppe zwar mit Kriegshandlungen (Zerstörung von Städten, Massaker, Vergewaltigungen) und einer vermeintlichen Doppelmoral, aber diese Vorwürfe beziehen sich auf **geopolitische Konflikte außerhalb Deutschlands** (Ukraine, Russland) und sind als **Kriegspropaganda** einzuordnen – nicht als Bedrohung der inneren Sicherheit Deutschlands. Zudem wird die Gruppe hier als **Opfer von Diffamierung** dargestellt, nicht als Täter oder Sicherheitsrisiko im Inland.",632712c33dd49b919c26ece3,13.0,"Massaker, vergewaltigung etc. ",IDK Why I am dicy,2,NO_HUMAN_CONSENSUS,0.0,NO_CRIME_FRAME
306.0,MIGR,"Während die wenigen Christen, die um Asyl nachsuchen, genauestens überprüft und mit Hindernissen konfrontiert werden, werden Millionen von muslimischen [Andere Gruppe] problemlos in den Westen aufgenommen, die meisten sogar, ohne überprüft zu werden (hier und hier).

Dasselbe Deutschland, das H.H. die Einreise verweigerte und ihn zurück in den Iran schickte, wo ihn möglicherweise Folter und Tod erwarteten, nahm 2015 über eine Million muslimische [Gruppe 1] und 2021, nachdem H.H. einen Antrag gestellt hatte, zehntausend nicht überprüfte [Andere Gruppe] auf – obwohl Afghanistan das wohl christenfeindlichste Land ist.

Auch hier handelt es sich um Menschen, die per definitionem keine religiöse Verfolgung in ihrer Heimat erlebt haben können, da sie selbst [Andere Gruppe] sind – ganz zu schweigen davon, dass viele von ihnen die Neigung der Taliban zu Gewalt und Extremismus teilen.",CRIME_FRAME_NEG,NO_CRIME_FRAME,CRIME_FRAME_NEG,"Der Text verknüpft die **[Gruppe 1]** explizit mit **Gewaltneigung, Extremismus und Unterstützung für die Taliban**, was als ideologische Nähe zu terroristischen Akteuren und Sicherheitsbedrohung interpretiert werden kann – selbst wenn keine konkrete Straftat genannt wird. Die Formulierung *„die Neigung der Taliban zu Gewalt und Extremismus teilen“* stellt eine direkte Assoziation mit gewaltbereiter Ideologie dar.",635e4c747a46d567ea057259,32.0,unsure: They not say that group 1 is bad? ,Maybe they indicate Gruppe 1 is exploiting their change to migrate??,2,NO_HUMAN_CONSENSUS,0.0,CRIME_FRAME_NEG
332.0,RUS,"Schmyhal äußerte die Hoffnung, dass auch die Ukraine stabil durch den Winter kommt. „Faktisch haben wir heute etwa 13 Milliarden Kubikmeter Gas in unseren Speichern. Wir haben heute mehr als zwei Millionen Tonnen Kohle. Das gibt uns die Hoffnung auf ein stabiles Durchlaufen dieser schwierigen Heizsaison.“ Trotzdem werde es schwierig wegen der militärischen Risiken.

Selenskyj fordert erneut EU-Einreiseverbote für [Gruppe 1]

Präsident Selenskyj bekräftigte in einem nach einem Gespräch mit EU-Kommissionspräsidentin Ursula von der Leyen aufgenommenen Video außerdem seine Forderungen nach Einreiseverboten für [Gruppe 1]. Es müsse Einschränkungen bei der Vergabe von Visa für jene geben, die den Terror gegen die Ukraine unterstützten und in Europa Spaß und Unterhaltung suchten, betonte er. „Europa ist ein Land der Werte und kein Disneyland für die Unterstützer von Terror.“ Die EU hatte Ende August angekündigt, lediglich ein mit Russland geschlossenes Abkommen zur Erleichterung der Visa-Vergabe für Reisende vollständig aussetzen. Reisen sind weiter möglich.",NO_CRIME_FRAME,CRIME_FRAME_NEG,NO_CRIME_FRAME,"Die Gruppe wird zwar mit **Terrorunterstützung** verknüpft, aber der Kontext ist ein **geopolitischer Konflikt (Ukraine-Krieg)** und die Forderung nach Einreiseverboten bezieht sich auf **internationale Terrorunterstützung außerhalb Deutschlands** – nicht auf Kriminalität, Sicherheit oder Gewalt im deutschen Inland.",632712773dd49b919c0800a2,14.0,unsure bc Terror and Europa ,No Specific Germany related?,2,NO_HUMAN_CONSENSUS,0.0,NO_CRIME_FRAME
372.0,ASYL,"Geldersheim (dpa/lby) - Gut vier Monate nach der Tötung eines Babys in einer Aufnahmeeinrichtung für [Gruppe 1] in Unterfranken hat die Staatsanwaltschaft Schweinfurt die Mutter wegen Mordes angeklagt. Die wahrscheinlich 27-Jährige soll das drei Monate alte Mädchen im Halsbereich mit einem Messer tödlich verletzt haben. „Nach wie vor gibt es keine gesicherten Erkenntnisse zum Tatmotiv“, teilte die Behörde am Montag mit. „Nach dem Ergebnis der Ermittlungen bestand bei der Angeschuldigten zur Tatzeit keine relevante Einschränkung der Schuldfähigkeit.“

Die Frau aus Somalia hat die Tat in Geldersheim bei Schweinfurt nach Angaben der Staatsanwaltschaft eingeräumt. Sie sitzt seit dem Tod des Kindes Anfang August in Untersuchungshaft. Wie alt sie genau ist, ist unklar, da [Andere Gruppe] mitunter ohne Papiere nach Deutschland kommen und ihr Alter dann geschätzt wird. Das Landgericht Schweinfurt muss nun über die Zulassung der Anklage entscheiden.",CRIME_FRAME_NEG,NO_CRIME_FRAME,NO_CRIME_FRAME,"**Label:** **NO_CRIME_FRAME**
**Explanation:** Die [Gruppe 1] (Somalierin) wird als Opfer der Ermittlungen und als Täterin einer Straftat dargestellt, die nicht mit ihrer Gruppenzugehörigkeit als solche verknüpft wird – die Tat ist eine individuelle Handlung ohne kollektive Zuschreibung oder Sicherheitsrahmen.",SZ_added_9d765864057776bbecf688ef2381f848d21a6991_,2.0,unsure: Mother part of group one or at the end of paragraph other group? ,The Mother is from Somalia and is a part of Gruppe 1? ,2,NO_HUMAN_CONSENSUS,0.0,NO_CRIME_FRAME
446.0,UKR,"Riesen-Gezerre um deutsche Waffenlieferungen in die Ukraine!

Seit Wochen fordern die [Gruppe 1] von Deutschland nur eines: Waffen, Waffen, Waffen für den Kampf gegen Russland. Besonders dringend brauchen sie „schwere Waffen“. Das sind Kriegsschiffe, Kampfjets, schwere Artilleriegeschosse wie die Panzerhaubitzen und Panzer wie der deutsche Marder. Von dem Schützenpanzer hat die Bundeswehr nach eigenen Angaben 370 Stück, einsatzfähig sind etwa 240.

Und die Bundesregierung? Blockiert!",NO_CRIME_FRAME,CRIME_FRAME_NEG,NO_CRIME_FRAME,"Der Text beschreibt eine geopolitische Konfliktlage (Waffenlieferungen im Ukraine-Krieg) ohne Bezug zu innerdeutscher Sicherheit, Kriminalität oder Prävention – die Gruppe wird als militärischer Akteur im Ausland dargestellt.",632712803dd49b919c0b7260,2.0,unsure: because use wapons for war but wapens are from germany so it effects them? ,IDK If they are just asking for weapons or making some crime to get the weapons,2,NO_HUMAN_CONSENSUS,0.0,NO_CRIME_FRAME
454.0,HUN,"Mit dem neuen Sanktionspaket schaffen die EU-Staaten zudem die Grundlage dafür, dass Russland Öl künftig für einen deutlich niedrigeren Preis verkaufen muss als derzeit. Auf dieses Vorgehen hatte sich bereits die G7-Gruppe wirtschaftsstarker Demokratien Anfang September verständigt. Demnach soll der Seetransport von Erdölprodukten und Rohöl aus Russland weltweit nur noch möglich sein, wenn das Öl unter einem bestimmten Preis gekauft wurde. Ein konkretes Limit dafür gibt es bislang nicht. Funktionieren könnte dies, indem wichtige Dienstleistungen wie Versicherungen für Öltransporte an die Einhaltung der Regel geknüpft werden.

[Gruppe 1] sieht seine Interessen gewahrt

Dadurch sollen die Einnahmen Moskaus reduziert werden, aus denen auch der Krieg gegen die Ukraine finanziert wird. Zu den G7 gehören unter anderem die drei EU-Staaten Deutschland, Frankreich und Italien. Die EU selbst hat bereits beschlossen, dass ab dem 5. Dezember kein russisches Rohöl mehr über den Seeweg in die Europäische Union eingeführt werden darf.",NO_CRIME_FRAME,CRIME_FRAME_POS,NO_CRIME_FRAME,"Der Text behandelt ausschließlich geopolitische Sanktionen gegen Russland im Kontext des Ukraine-Kriegs und erwähnt die Gruppe nur als vermeintlich „interessenwahrend“ – ohne jede Verknüpfung mit Kriminalität, innerer Sicherheit, Terrorismus oder Prävention in Deutschland.",633d4875af175a9dd4032312,11.0,unsure but I would say: Sanktion: less money -> less war = less crime ,Unsure,2,NO_HUMAN_CONSENSUS,0.0,NO_CRIME_FRAME
493.0,REFUG,"In Würzburg wurde auf dem beliebten Volksfest Kiliani der Ballermann-Hit „Layla”, der auf Platz 1 der deutschen Single-Charts landete, verboten. Ist dies überhaupt der Erwähnung wert? Nun, es kommt auf den Kontext an.

Was wird heutzutage aus welchen Gründen verboten und was wiegt schwerer: Ein Gedankenverbrechen, ein „Wort-Aussprech-” oder „Sing-Verbrechen” mit Begriffen wie „Luder” und „Puffmama”, die nun offenbar auf eine Ächtungsebene mit Worten wie „[Andere Gruppe]”, „Neger” oder „Führer” gestellt werden? Oder reale Gewaltverbrechen – wie ein Auto, das scheinbar selbstständig in Menschenmengen fährt, ein LKW, der einen Weihnachtsmarkt zerstört, oder die Vergewaltigung eines Mädchens durch einen „traumatisierten [Gruppe 1]”, der eigentlich nichts für seine Triebe kann? Wie werden diese verschiedenen Vergehen mittlerweile in unserer Gesellschaft bewertet und gewichtet?

„Normalisierter Sexismus“?",NO_CRIME_FRAME,CRIME_FRAME_NEG,NO_CRIME_FRAME,"**Label:** NO_CRIME_FRAME
**Explanation:** Die Gruppe wird nur als Opfer eines Gewaltverbrechens erwähnt („Vergewaltigung eines Mädchens durch einen ‚traumatisierten [Gruppe 1]‘“), ohne dass sie selbst als Täter, Verdächtiger, Unterstützer von Gewalt oder Sicherheitsrisiko dargestellt wird – der Fokus liegt auf der Tat eines Einzelnen und nicht auf der Gruppe als Ganzes.",632712873dd49b919c0ebb7d,2.0,or fiction? ,I am not sure if it is security related ?!?,2,NO_HUMAN_CONSENSUS,0.0,NO_CRIME_FRAME